,screen_name,state
3808,ParasMOfficial,Rajasthan
3809,RayazRehana,Rajasthan
3810,dr_baweja,Rajasthan
3811,RakeshMeena_,Rajasthan
3812,balmukundjoshi,Rajasthan
3813,Rajeshyadavinc,Rajasthan
3815,chitreshgahlot,Rajasthan
3816,HaridanCharan,Rajasthan
3817,AZIZSIDDIQUI786,Rajasthan
3818,Sunilya71738213,Rajasthan
3819,jitendransui,Rajasthan
3820,marshalprahlad,Rajasthan
3821,Pbhardwajjpr,Rajasthan
3822,SumitBhagasara,Rajasthan
3823,ishwar_rajoria,Rajasthan
3824,BairwaPrashant,Rajasthan
3826,BabulalNagarINC,Rajasthan
3827,jaidevfagna,Rajasthan
3829,Aapkatiger29,Rajasthan
3830,PrahladGurjarD,Rajasthan
3831,SushilAsopa,Rajasthan
3832,BapnaSanjay,Rajasthan
3833,_PParashar,Rajasthan
3834,tak_bansi121,Rajasthan
3837,divyendrapratap,Rajasthan
3838,RajAIPC,Rajasthan
3840,shantaprince4,Rajasthan
3843,KishankhuriwalJ,Rajasthan
3844,MahadevKhandela,Rajasthan
3845,NarseeKirad,Rajasthan
3846,PramodFagnaINC,Rajasthan
3848,DantaramgrhINC,Rajasthan
3849,Shahrukh_NSUI,To Be Added
3850,Ramniwaskukna,Rajasthan
3851,avinashINC,Maharashtra
3852,DanishKhanINC,Rajasthan
3853,MalviyaHemendra,Rajasthan
3854,Anilchala0110,Rajasthan
3855,rohillaneeru,Rajasthan
3856,Tanishacongress,Rajasthan
3857,shijupjoy,Rajasthan
3859,ShafiaZubairINC,Rajasthan
3861,maheshsharmacm,Rajasthan
3862,NSUI_BARMER,Rajasthan
3863,GovindpatelINC,Rajasthan
3864,Rajendrainc,Rajasthan
3865,NareshDevSaran,Rajasthan
3866,sarika171174,Rajasthan
3867,PresidentRPCC,Rajasthan
3868,LeenaSh30770541,Rajasthan
3870,ArunaC_Official,Punjab
3871,mumtazmasih,Rajasthan
3872,NarendraBaisla7,Rajasthan
3873,SunilSinghania_,Rajasthan
3874,ManpreetINC,Rajasthan
3875,vivekkatara_inc,Rajasthan
3876,DheerajMeenaINC,Rajasthan
3877,DevdaRenu,Rajasthan
3878,iDilipSisodiya,Rajasthan
3879,akramaliIYC,Rajasthan
